วันที่ทำการทดลอง,ระยะที่ทำการวัด ( cm ),A1,A2,A3,Avg,Error,Unnamed: 7
4/10/2025,10,31,38,31,33.33333333,-23.33333333,
,10,30,37,34,33.66666667,-23.66666667,
,10,31,39,35,35.0,-25.0,
,10,30,37,33,33.33333333,-23.33333333,
,10,32,36,35,34.33333333,-24.33333333,
,10,31,37,34,34.0,-24.0,
,10,32,37,32,33.66666667,-23.66666667,
,10,30,36,31,32.33333333,-22.33333333,
,10,31,36,33,33.33333333,-23.33333333,
,10,31,37,32,33.33333333,-23.33333333,
,10,33,38,34,35.0,-25.0,
,10,32,36,35,34.33333333,-24.33333333,
,10,32,37,33,34.0,-24.0,
,10,30,36,32,32.66666667,-22.66666667,
,10,31,35,35,33.66666667,-23.66666667,
,10,32,37,34,34.33333333,-24.33333333,
,10,32,39,35,35.33333333,-25.33333333,
,10,30,36,33,33.0,-23.0,
,10,32,35,32,33.0,-23.0,
,10,31,37,33,33.66666667,-23.66666667,
4/10/2025,15,39,44,44,42.33333333,-27.33333333,
,15,40,43,42,41.66666667,-26.66666667,
,15,39,42,43,41.33333333,-26.33333333,
,15,40,44,44,42.66666667,-27.66666667,
,15,39,43,42,41.33333333,-26.33333333,
,15,38,42,41,40.33333333,-25.33333333,
,15,39,44,43,42.0,-27.0,
,15,40,43,42,41.66666667,-26.66666667,
,15,39,41,41,40.33333333,-25.33333333,
,15,36,44,43,41.0,-26.0,
,15,38,42,43,41.0,-26.0,
,15,40,43,42,41.66666667,-26.66666667,
,15,41,42,44,42.33333333,-27.33333333,
,15,38,41,43,40.66666667,-25.66666667,
,15,39,40,40,39.66666667,-24.66666667,
,15,40,41,41,40.66666667,-25.66666667,
,15,41,44,43,42.66666667,-27.66666667,
,15,38,43,44,41.66666667,-26.66666667,
,15,37,42,42,40.33333333,-25.33333333,
,15,39,41,43,41.0,-26.0,
4/10/2025,20,52,50,53,51.66666667,-31.66666667,
,20,51,49,52,50.66666667,-30.66666667,
,20,53,48,49,50.0,-30.0,
,20,52,51,50,51.0,-31.0,
,20,53,49,49,50.33333333,-30.33333333,
,20,52,50,48,50.0,-30.0,
,20,54,48,50,50.66666667,-30.66666667,
,20,55,49,51,51.66666667,-31.66666667,
,20,53,51,49,51.0,-31.0,
,20,50,50,51,50.33333333,-30.33333333,
